NO,stars,day
404,9.05,2017.05.26
405,9.43,2017.05.22
406,9.40,2017.05.21
407,8.97,2017.05.19
408,8.18,2017.05.17
409,7.79,2017.05.14
410,9.13,2017.05.12
411,9.57,2017.05.08
412,9.65,2017.05.07
413,9.52,2017.05.05
414,9.27,2017.05.01
415,9.74,2017.04.30
416,9.78,2017.04.27
417,9.76,2017.04.24
418,9.74,2017.04.22
419,9.69,2017.04.20
420,9.53,2017.04.18
421,8.71,2017.04.16
422,9.60,2017.04.13
423,9.68,2017.04.10
424,9.14,2017.04.09
425,8.47,2017.04.07
426,8.24,2017.04.05
427,6.93,2017.04.02
428,9.61,2017.03.31
429,9.68,2017.03.27
430,9.68,2017.03.26
431,9.63,2017.03.24
432,9.62,2017.03.20
433,9.73,2017.03.18
434,9.73,2017.03.17
435,9.65,2017.03.14
436,9.73,2017.03.11
437,9.72,2017.03.10
438,9.63,2017.03.07
439,9.52,2017.03.05
440,9.64,2017.03.03
441,9.67,2017.02.28
442,9.47,2017.02.26
443,9.41,2017.02.24
444,9.51,2017.02.20
445,9.72,2017.02.18
446,9.72,2017.02.16
447,9.70,2017.02.14
448,9.62,2017.02.11
449,9.75,2017.02.09
450,9.70,2017.02.07
451,9.67,2017.02.04
452,9.73,2017.02.02
453,9.71,2017.01.31
454,9.80,2017.01.29
455,9.64,2017.01.26
456,9.72,2017.01.23
457,9.38,2017.01.22
458,8.96,2017.01.20
459,8.84,2017.01.17
460,9.16,2017.01.15
461,9.30,2017.01.13
462,8.88,2017.01.10
463,8.67,2017.01.08
464,9.27,2017.01.06
465,9.31,2017.01.03
466,8.19,2017.01.02
467,7.87,2016.12.30
468,9.26,2016.12.27
469,9.01,2016.12.25
470,9.43,2016.12.22
471,9.44,2016.12.20
472,8.57,2016.12.18
473,8.69,2016.12.16
474,8.95,2016.12.13
475,9.17,2016.12.11
476,9.26,2016.12.09
477,9.08,2016.12.05
478,9.06,2016.12.04
479,8.44,2016.12.02
480,8.82,2016.11.28
481,8.90,2016.11.27
482,8.37,2016.11.24
483,9.52,2016.11.21
484,9.25,2016.11.20
485,8.81,2016.11.18
486,8.35,2016.11.16
487,6.99,2016.11.14
488,5.77,2016.11.11
489,9.16,2016.11.08
490,9.38,2016.11.06
491,9.39,2016.11.04
492,9.41,2016.11.01
493,9.47,2016.10.30
494,9.60,2016.10.27
495,9.64,2016.10.24
496,9.63,2016.10.22
497,9.62,2016.10.20
498,9.53,2016.10.18
499,9.25,2016.10.15
500,9.62,2016.10.13
501,9.59,2016.10.11
502,9.50,2016.10.09
503,9.54,2016.10.06
504,9.50,2016.10.04
505,8.88,2016.10.02
506,8.88,2016.09.30
507,9.23,2016.09.27
508,9.04,2016.09.25
509,8.83,2016.09.23
510,9.27,2016.09.19
511,9.49,2016.09.18
512,8.90,2016.09.16
513,9.16,2016.09.13
514,9.41,2016.09.10
515,9.55,2016.09.08
516,9.55,2016.09.06
517,9.36,2016.09.04
518,9.11,2016.09.02
519,9.33,2016.08.29
520,9.31,2016.08.27
521,9.31,2016.08.25
522,9.30,2016.08.22
523,9.24,2016.08.20
524,9.18,2016.08.18
525,9.13,2016.08.15
526,9.06,2016.08.14
527,8.88,2016.08.11
528,8.86,2016.08.09
529,8.67,2016.08.07
530,8.64,2016.08.05
531,7.94,2016.08.01
532,8.19,2016.07.30
533,8.20,2016.07.29
534,7.37,2016.07.26
535,6.83,2016.07.24
536,6.41,2016.07.22
537,7.26,2016.07.18
538,9.04,2016.07.16
539,9.29,2016.07.14
540,9.46,2016.07.12
541,9.39,2016.07.10
542,9.45,2016.07.08
543,9.34,2016.07.04
544,9.61,2016.07.02
545,9.63,2016.07.01
546,9.58,2016.06.27
547,9.66,2016.06.25
548,9.71,2016.06.23
549,9.68,2016.06.20
550,9.68,2016.06.18
551,9.67,2016.06.16
552,9.69,2016.06.13
553,9.70,2016.06.11
554,9.68,2016.06.09
555,9.68,2016.06.06
556,9.69,2016.06.04
557,9.69,2016.06.02
558,9.69,2016.05.30
559,9.71,2016.05.28
560,9.71,2016.05.26
561,9.71,2016.05.23
562,9.70,2016.05.21
563,9.71,2016.05.19
564,9.69,2016.05.16
565,9.70,2016.05.14
566,9.72,2016.05.12
567,9.69,2016.05.10
568,9.46,2016.05.08
569,9.63,2016.05.05
570,9.66,2016.05.03
571,9.61,2016.04.30
572,9.67,2016.04.29
573,9.54,2016.04.26
574,9.58,2016.04.23
575,9.71,2016.04.21
576,9.67,2016.04.18
577,9.69,2016.04.16
578,9.69,2016.04.14
579,9.71,2016.04.11
580,9.69,2016.04.09
581,9.69,2016.04.07
582,9.69,2016.04.04
583,9.69,2016.04.02
584,9.69,2016.03.31
585,9.69,2016.03.28
586,9.69,2016.03.26
587,9.68,2016.03.24
588,9.70,2016.03.21
589,9.68,2016.03.19
590,9.68,2016.03.17
591,9.68,2016.03.14
592,9.68,2016.03.12
593,9.68,2016.03.10
594,9.68,2016.03.07
595,9.67,2016.03.05
596,9.66,2016.03.03
597,9.68,2016.02.29
598,9.68,2016.02.27
599,9.69,2016.02.25
600,9.69,2016.02.22
601,9.68,2016.02.20
602,9.67,2016.02.18
603,9.67,2016.02.15
604,9.69,2016.02.13
605,9.70,2016.02.11
606,9.68,2016.02.08
607,9.67,2016.02.06
608,9.66,2016.02.04
609,9.67,2016.02.01
610,9.67,2016.01.30
611,9.66,2016.01.28
612,9.66,2016.01.25
613,9.68,2016.01.23
614,9.67,2016.01.21
615,9.66,2016.01.18
616,9.64,2016.01.16
617,9.67,2016.01.14
618,9.66,2016.01.11
619,9.67,2016.01.09
620,9.66,2016.01.07
621,9.67,2016.01.04
622,9.67,2016.01.02
623,9.68,2015.12.31
624,9.69,2015.12.28
625,9.67,2015.12.27
626,9.58,2015.12.24
627,9.65,2015.12.22
628,9.57,2015.12.19
629,9.67,2015.12.17
630,9.65,2015.12.14
631,9.66,2015.12.12
632,9.68,2015.12.10
633,9.66,2015.12.07
634,9.66,2015.12.05
635,9.67,2015.12.03
636,9.67,2015.11.30
637,9.67,2015.11.28
638,9.63,2015.11.26
639,9.62,2015.11.23
640,9.64,2015.11.21
641,9.65,2015.11.19
642,9.66,2015.11.16
643,9.60,2015.11.14
644,9.61,2015.11.12
645,9.59,2015.11.09
646,9.62,2015.11.07
647,9.55,2015.11.05
648,9.59,2015.11.02
649,9.62,2015.10.31
650,9.63,2015.10.29
651,9.56,2015.10.27
652,9.45,2015.10.24
653,9.56,2015.10.22
654,9.58,2015.10.19
655,9.56,2015.10.17
656,9.57,2015.10.15
657,9.55,2015.10.12
658,9.43,2015.10.11
659,8.51,2015.10.08
660,9.48,2015.10.05
661,9.42,2015.10.03
662,9.50,2015.10.01
663,9.51,2015.09.28
664,9.54,2015.09.26
665,9.52,2015.09.24
666,9.48,2015.09.21
667,9.73,2015.09.19
668,9.36,2015.09.17
669,9.40,2015.09.14
670,9.38,2015.09.12
671,9.44,2015.09.10
672,9.21,2015.09.07
673,9.21,2015.09.05
674,9.22,2015.09.03
675,9.17,2015.08.31
676,9.11,2015.08.29
677,9.09,2015.08.27
678,9.09,2015.08.24
679,9.02,2015.08.22
680,8.97,2015.08.20
681,8.93,2015.08.17
682,8.94,2015.08.15
683,8.88,2015.08.13
684,8.87,2015.08.10
685,8.76,2015.08.08
686,8.70,2015.08.06
687,8.63,2015.08.03
688,8.44,2015.08.01
689,8.55,2015.07.30
690,8.49,2015.07.27
691,8.41,2015.07.25
692,8.29,2015.07.23
693,8.40,2015.07.20
694,8.12,2015.07.18
695,7.85,2015.07.16
696,7.52,2015.07.13
697,7.06,2015.07.11
